gene,T,decay_mean,phase,threshold,n_scenarios,n_valid,n_invalid,n_intron_lead,n_exon_lead,n_small,n_positive_without_tolerance,n_negative_without_tolerance,n_zero_without_tolerance,minimum_offset,maximum_offset,median_offset,fraction_intron_lead,fraction_exon_lead,fraction_small,fraction_positive_without_tolerance,fraction_negative_without_tolerance
Kr,0.3,0.3,rise,40,18,18,0,18,0,0,18,0,0,0.1247784413535537,0.2082390085955158,0.1558593209483386,1.0,0.0,0.0,1.0,0.0
Kr,0.3,0.3,rise,50,18,18,0,18,0,0,18,0,0,0.1269088354677338,0.2123570763051345,0.16340271368711806,1.0,0.0,0.0,1.0,0.0
Kr,0.3,0.3,rise,60,18,18,0,18,0,0,18,0,0,0.1300185100810833,0.2179831636949218,0.16891947266662466,1.0,0.0,0.0,1.0,0.0
Kr,0.3,0.3,fall,40,18,18,0,18,0,0,18,0,0,0.2187136279522361,0.4231512723481663,0.3226298936307789,1.0,0.0,0.0,1.0,0.0
Kr,0.3,0.3,fall,50,18,18,0,18,0,0,18,0,0,0.2186163644854346,0.4027871988316297,0.28663954619515,1.0,0.0,0.0,1.0,0.0
Kr,0.3,0.3,fall,60,18,18,0,18,0,0,18,0,0,0.2181481232457796,0.3897484920749761,0.2595890901045532,1.0,0.0,0.0,1.0,0.0
Kr,0.3,1.0,rise,40,18,18,0,18,0,0,18,0,0,0.1311413976576046,0.2686136692289971,0.19519843307272688,1.0,0.0,0.0,1.0,0.0
Kr,0.3,1.0,rise,50,18,18,0,18,0,0,18,0,0,0.1337896718487982,0.2759346526297819,0.21132575782457375,1.0,0.0,0.0,1.0,0.0
Kr,0.3,1.0,rise,60,18,18,0,18,0,0,18,0,0,0.1373192084380333,0.2873403977459644,0.22319511883704715,1.0,0.0,0.0,1.0,0.0
Kr,0.3,1.0,fall,40,18,18,0,18,0,0,18,0,0,0.9008086449016304,1.137145315512774,0.984291466881822,1.0,0.0,0.0,1.0,0.0
Kr,0.3,1.0,fall,50,18,18,0,18,0,0,18,0,0,0.7853105816889916,0.962125844228611,0.8545777353821179,1.0,0.0,0.0,1.0,0.0
Kr,0.3,1.0,fall,60,18,18,0,18,0,0,18,0,0,0.6388739015871863,0.8549212863284952,0.7388526716356242,1.0,0.0,0.0,1.0,0.0
Kr,0.3,3.0,rise,40,18,18,0,18,0,0,18,0,0,0.1344107185933239,0.2953215412578108,0.21947849103707712,1.0,0.0,0.0,1.0,0.0
Kr,0.3,3.0,rise,50,18,18,0,18,0,0,18,0,0,0.137376993807187,0.3043825827428267,0.23890734486580575,1.0,0.0,0.0,1.0,0.0
Kr,0.3,3.0,rise,60,18,18,0,18,0,0,18,0,0,0.1411792948557834,0.3320916988871791,0.25244277928949077,1.0,0.0,0.0,1.0,0.0
Kr,0.3,3.0,fall,40,18,18,0,18,0,0,18,0,0,2.772932991214498,3.0961200085025,2.9067176599310853,1.0,0.0,0.0,1.0,0.0
