scenario_index,gene,T,processing_mean,decay_mean,peak_fraction,dt,rise_50_change,rise_class_changed,rise_sign_changed,fall_50_change,fall_class_changed,fall_sign_changed,peak_change,max_normalized_signal_change
738,mlpt,0.01,3.0,0.01,0.25,0.00025,-6.538160283325618e-08,False,False,1.055551187249728e-06,False,False,-4.806233203298897e-07,5.65961315389385e-07
739,mlpt,0.01,3.0,0.01,0.5,0.0005,9.357020290323226e-08,False,False,-1.3116763360180217e-06,False,False,5.665678711377214e-07,6.284929917610427e-07
739,mlpt,0.01,3.0,0.01,0.5,0.00025,5.996505690397192e-08,False,False,-9.154328051422711e-07,False,False,3.988255354494402e-07,6.666713608938224e-07
740,mlpt,0.01,3.0,0.01,0.75,0.0005,4.546135956031393e-08,False,False,5.98381834282505e-07,False,False,-2.7088967034975624e-07,4.928304974116671e-07
740,mlpt,0.01,3.0,0.01,0.75,0.00025,-7.337201074356439e-09,False,False,1.2561140016797897e-06,False,False,-5.410111150063021e-07,7.829958190708197e-07
741,mlpt,0.01,3.0,0.03,0.25,0.0005,-1.7885791903093917e-08,False,False,3.213569677658519e-08,False,False,-2.3423164074994838e-08,5.002425160771651e-07
741,mlpt,0.01,3.0,0.03,0.25,0.00025,-1.0834437569329225e-08,False,False,2.9176052691219992e-08,False,False,-2.238167151613285e-08,5.662169927991845e-07
742,mlpt,0.01,3.0,0.03,0.5,0.0005,-1.6065409058629854e-08,False,False,1.9248854781124276e-07,False,False,-8.200181977890963e-08,2.2510463831837413e-07
742,mlpt,0.01,3.0,0.03,0.5,0.00025,-1.6569633332075284e-08,False,False,2.0936776006137432e-07,False,False,-8.464218215209485e-08,3.7227899107872275e-07
743,mlpt,0.01,3.0,0.03,0.75,0.0005,1.7663335220667858e-07,False,False,-1.637823174377483e-06,False,False,6.805349367606595e-07,1.026492114641897e-06
743,mlpt,0.01,3.0,0.03,0.75,0.00025,1.3415533787846084e-07,False,False,-9.84402269882433e-07,False,False,4.0779164292190865e-07,1.10148735898985e-06
745,mlpt,0.01,3.0,0.1,0.5,0.0005,9.836055738714038e-08,False,False,-1.2490059062564285e-06,False,False,5.567044230334398e-07,6.140628653339419e-07
745,mlpt,0.01,3.0,0.1,0.5,0.00025,6.811644728192505e-08,False,False,-8.556263000336628e-07,False,False,3.838309688150923e-07,6.50883563824145e-07
747,mlpt,0.01,3.0,0.3,0.25,0.0005,-9.191371025396577e-08,False,False,1.255867544652789e-06,False,False,-6.465722084542103e-07,5.002425160771651e-07
747,mlpt,0.01,3.0,0.3,0.25,0.00025,-8.837579185128064e-08,False,False,1.261970099114551e-06,False,False,-6.662982186128596e-07,5.65961315389385e-07
