gene,shape,mode,stage_index,intron,exon,intron_fit,exon_fit,intron_residual,exon_residual
Kr,cosine,collapsed,17,0.027570093457943926,0.007041494521286151,0.0313341258892566,0.015316636431485857,0.003764032431312677,0.008275141910199707
Kr,cosine,collapsed,18,0.01775700934579439,0.005460750853242321,0.03133407126904217,0.015311177909029805,0.013577061923247778,0.009850427055787484
Kr,cosine,collapsed,19,0.02394859813084112,0.007903718340219149,0.03133406262597478,0.015309858662965336,0.007385464495133661,0.007406140322746188
Kr,cosine,collapsed,20,0.0227803738317757,0.005748158792886654,0.03133406125862225,0.01530954043218528,0.008553687426846552,0.009561381639298627
Kr,cosine,collapsed,21,0.02570093457943925,0.005748158792886654,0.031334061042917666,0.015309463764320241,0.005633126463478414,0.009561304971433588
Kr,cosine,collapsed,22,0.02570093457943925,0.011352613615951142,0.031334061009779236,0.015309445308815553,0.005633126430339985,0.003956831692864411
Kr,cosine,collapsed,23,0.020560747663551402,0.008047422310041314,0.031334061005556316,0.015309440869004428,0.010773313342004914,0.007262018558963114
Kr,cosine,collapsed,24,0.020560747663551402,0.007616310400574816,0.031334061005009926,0.015309439802527964,0.010773313341458524,0.007693129401953148
Kr,cosine,mapped,1,0.03271028037383177,0.006035566732530986,0.031311477545531555,0.015347831591868505,-0.0013988028283002177,0.009312264859337518
Kr,cosine,mapped,2,0.07710280373831775,0.040524519489850905,0.03131147754553162,0.015347831591868517,-0.045791326192786135,-0.025176687897982386
Kr,cosine,mapped,3,0.08551401869158878,0.05388898868331238,0.03598360337739148,0.01801185725157445,-0.0495304153141973,-0.03587713143173793
Kr,cosine,mapped,4,0.12102803738317756,0.060930483204598526,0.12322624460625005,0.08199483571499558,0.0021982072230724847,0.021064352510397052
Kr,cosine,mapped,5,0.37009345794392523,0.3343991377761811,0.33042945431465265,0.2634697334122878,-0.03966400362927258,-0.07092940436389328
Kr,cosine,mapped,6,0.5112149532710281,0.4634453026764864,0.6012901095313739,0.5321291875540237,0.09007515626034579,0.0686838848775373
Kr,cosine,mapped,7,0.8738317757009346,0.8392311837614514,0.8484611738906225,0.8081232894507865,-0.025370601810312143,-0.031107894310664963
Kr,cosine,mapped,8,1.0,1.0,0.9771151886764451,0.9964540553892065,-0.02288481132355491,-0.0035459446107934944
Kr,cosine,mapped,9,0.17102803738317757,0.36227770792168135,0.1965019748791691,0.4013823520673616,0.025473937495991528,0.03910464414568027
Kr,cosine,mapped,10,0.10864485981308411,0.17801329261720855,0.0574833286539717,0.12998347360322512,-0.05116153115911241,-0.04802981901398343
Kr,cosine,mapped,11,0.021962616822429906,0.07012753727321717,0.035457998086957765,0.04629633987167186,0.013495381264527859,-0.023831197401545316
Kr,cosine,mapped,12,0.03177570093457944,0.014657804921860966,0.0319684288834119,0.02330846547080686,0.0001927279488324607,0.008650660548945893
Kr,cosine,mapped,13,0.022897196261682243,0.010634093766840309,0.031415561211831464,0.01734010656715828,0.00851836495014922,0.006706012800317971
Kr,cosine,mapped,14,0.011682242990654205,0.009197054068618647,0.03132796797482689,0.01583827458234114,0.019645724984172684,0.006641220513722493
Kr,cosine,mapped,15,0.025233644859813085,0.004742231004131489,0.031314090196178465,0.01546733058510859,0.00608044533636538,0.010725099580977102
Kr,cosine,mapped,16,0.027102803738317756,0.011640021555595473,0.031311891479170954,0.015376758168235045,0.0042090877408531985,0.003736736612639572
Kr,cosine,mapped,17,0.027570093457943926,0.007041494521286151,0.03131154312684605,0.015354804178949527,0.0037414496689021255,0.008313309657663377
Kr,cosine,mapped,18,0.01775700934579439,0.005460750853242321,0.03131148793588223,0.01534950767182824,0.013554478590087841,0.00988875681858592
Kr,cosine,mapped,19,0.02394859813084112,0.007903718340219149,0.03131147919187345,0.015348233763745472,0.00736288106103233,0.007444515423526324
Kr,cosine,mapped,20,0.0227803738317757,0.005748158792886654,0.03131147780697275,0.015347927977663114,0.00853110397519705,0.00959976918477646
Kr,cosine,mapped,21,0.02570093457943925,0.005748158792886654,0.0313114775883705,0.015347854673921937,0.005610543008931251,0.009599695881035283
Kr,cosine,mapped,22,0.02570093457943925,0.011352613615951142,0.0313114775549276,0.01534783711668625,0.005610542975488349,0.003995223500735109
Kr,cosine,mapped,23,0.020560747663551402,0.008047422310041314,0.031311477550617396,0.015347832914528403,0.010750729887065994,0.007300410604487089
